id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
6446,CJV8,,Grand Rapids Airport,Grand Rapids,Manitoba,CA,860,53.17250061,-99.32309723,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6447,CJV9,,Melville Municipal Airport,Melville,Saskatchewan,CA,1800,50.94139862,-102.737999,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6448,CJW2,,Oxbow Airport,Oxbow,Saskatchewan,CA,1850,49.23329926,-102.1500015,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6449,CJW3,,Loon Lake Airport,Loon Lake,Saskatchewan,CA,1790,54.0182991,-109.1350021,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6450,CJW4,,Pelican Narrows Airport,Pelican Narrows,Saskatchewan,CA,1242,55.28689957,-102.75,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6451,CJW5,,Russell Airport,Russell,Manitoba,CA,1825,50.76580048,-101.2949982,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6452,CJW7,,Cigar Lake Airport,Cigar Lake,Saskatchewan,CA,1562,58.05310059,-104.4840012,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6453,CJX4,,Rosetown Airport,Rosetown,Saskatchewan,CA,1920,51.56439972,-107.9179993,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6454,CJX5,,Souris Glenwood Industrial Air Park,Souris Glenwood,Manitoba,CA,1480,49.63330078,-100.1999969,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6455,CJY3,,Tisdale Airport,Tisdale,Saskatchewan,CA,1525,52.83670044,-104.0670013,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6456,CJY4,,Sandy Bay Airport,Sandy Bay,Saskatchewan,CA,1001,55.54560089,-102.2720032,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6457,CJY5,,Strathclair Airport,Strathclair,Manitoba,CA,1875,50.39609909,-100.4250031,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6458,CJZ2,,Portage La Prairie (North) Airport,Portage La Prairie,Manitoba,CA,860,49.99250031,-98.30310059,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6459,CJZ3,,Melfort Airport,Melfort,Saskatchewan,CA,1495,52.86669922,-104.6999969,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6460,CJZ4,,Shellbrook Airport,Shellbrook,Saskatchewan,CA,1640,53.22829819,-106.362999,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6461,CKA4,,Zhoda Airport,Zhoda,Manitoba,CA,950,49.28079987,-96.50109863,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6462,CKA8,,St. Francois Xavier Airport,St. Francois Xavier,Manitoba,CA,798,49.92440033,-97.54889679,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
