20036,SADF,FDO,San Fernando Airport,San Fernando,Buenos-Aires,AR,10,-34.4532,-58.5896,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20037,SADG,,Monte Grande Airport,Monte Grande,Buenos-Aires,AR,30,-34.80559921,-58.49200058,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20038,SADJ,,Mariano Moreno Airport,General Sarmiento,Buenos-Aires,AR,105,-34.5606,-58.7896,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20039,SADL,LPG,La Plata Airport,La Plata,Buenos-Aires,AR,72,-34.9722,-57.8947,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20040,SADM,,Moron Airport,Moron,Buenos-Aires,AR,95,-34.6763,-58.6428,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20041,SADO,,Campo De Mayo Airport,Campo de Mayo,Buenos-Aires,AR,78,-34.5344,-58.6717,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20042,SADP,EPA,El Palomar Airport,El Palomar,Buenos-Aires,AR,59,-34.6099,-58.6126,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20043,SADQ,,Quilmes Airport,Quilmes,Buenos-Aires,AR,6,-34.7064,-58.2444,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20044,SADR,,Merlo Airport,Merlo,Buenos-Aires,AR,49,-34.6848,-58.6891,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20045,SADS,,Aeroclub Argentino Airport,San Justo,Buenos-Aires,AR,62,-34.7311,-58.5975,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20046,SADZ,,Matanza Airport,La Matanza,Buenos-Aires,AR,9,-34.7261,-58.5011,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20047,SAEA,,General Acha Airport,General Acha,La-Pampa,AR,908,-37.4007988,-64.6128006,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20048,SAEK,,Laprida Airport,Laprida,Buenos-Aires,AR,705,-37.51890183,-60.77690125,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20049,SAEL,,Las Flores Airport,Las Flores,Buenos-Aires,AR,111,-36.0672,-59.1042,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20050,SAEM,MJR,Miramar Airport,Miramar,Buenos-Aires,AR,42,-38.2271,-57.8697,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20051,SAET,,Trenque Lauquen Airport,Trenque Lauquen,Buenos-Aires,AR,324,-36.0158,-62.6939,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20052,SAEZ,EZE,Ministro Pistarini International Airport,Ezeiza,Buenos-Aires,AR,67,-34.8222,-58.5358,America/Argentina/Buenos_Aires,2020-08-18 12:04:00,2020-08-18 12:04:00
20053,SAFR,,Rafaela Airport,Rafaela,Santa-Fe,AR,325,-31.2825,-61.5017,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20054,SAFS,NCJ,Sunchales Aeroclub Airport,Sunchales,Santa-Fe,AR,311,-30.9575,-61.5283,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20055,SAFT,,El Trebol Airport,El Trebol,Santa-Fe,AR,301,-32.2153,-61.7161,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20056,SAFV,,Venado Tuerto Airport,Venado Tuerto,Santa-Fe,AR,367,-33.6818,-61.9564,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20057,SAHC,HOS,Chos Malal Airport,Chos Malal,Neuquen,AR,2788,-37.44469833,-70.22250366,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20058,SAHE,CVH,Caviahue Airport,Lafontaine,Neuquen,AR,5435,-37.85139847,-71.00920105,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20059,SAHI,,Cipoletti Aeroclub Airport,Cipoletti,Rio-Negro,AR,885,-38.89310074,-67.98860168,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20060,SAHR,GNR,Dr. Arturo H. Illia Airport,General Roca,Rio-Negro,AR,852,-39.0007019,-67.62049866,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20061,SAHS,RDS,Rincon De Los Sauces Airport,Rincon de los Sauces,Neuquen,AR,1968,-37.3905983,-68.90419769,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20062,SAHV,,Victorica Airport,Victorica,La-Pampa,AR,1020,-36.23749924,-65.45055389,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
